                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.0991,                 1.1985,                 1.6729,                0.85688,                0.71291,                0.82675,                0.61692,                0.91537,                0.96294,                 1.4771,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0986,                 1.2044,                 1.6554,                 0.8407,                0.72376,                0.83068,                0.61979,                0.91849,                0.94471,                 1.4759,              0.0002774,              0.0002774,              0.0002774
                     89,                  1.072,                 1.1714,                 1.6312,                0.85582,                0.72256,                0.83335,                0.62622,                0.91315,                0.93234,                 1.4696,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0545,                 1.1649,                 1.6136,                0.84284,                0.73747,                  0.834,                0.62542,                0.90698,                0.93108,                 1.4636,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0825,                 1.2523,                 1.6591,                0.81508,                0.71773,                0.80196,                0.55481,                 1.0807,                 1.0599,                 1.6442,               0.000218,               0.000218,               0.000218
                     92,                0.98939,                 1.0965,                 1.5896,                0.85816,                0.72256,                0.83289,                 0.6182,                 0.9536,                 0.9591,                 1.5002,              0.0001982,              0.0001982,              0.0001982
                     93,                0.96585,                 1.0339,                 1.5726,                0.89856,                0.71049,                0.84146,                0.63886,                0.92107,                0.92365,                  1.454,              0.0001784,              0.0001784,              0.0001784
                     94,                0.94932,                 1.0283,                  1.546,                0.87139,                0.73703,                0.84261,                 0.6351,                0.89571,                0.90074,                 1.4497,              0.0001586,              0.0001586,              0.0001586
                     95,                0.98329,                 1.0203,                 1.5842,                0.87377,                0.75392,                0.84822,                0.64844,                0.87679,                0.87445,                 1.4317,              0.0001388,              0.0001388,              0.0001388
                     96,                0.95094,                0.96546,                 1.5581,                0.86525,                0.75134,                0.85314,                0.65533,                0.86549,                0.86065,                 1.4195,               0.000119,               0.000119,               0.000119
                     97,                0.95786,                0.97812,                 1.5491,                0.87431,                0.75518,                0.85142,                0.65334,                0.86275,                0.85783,                 1.4143,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.89805,                0.92518,                 1.4933,                0.88221,                0.74082,                0.85085,                0.65699,                 0.8541,                0.84739,                 1.4064,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.93633,                0.99667,                 1.5051,                0.87635,                0.75232,                0.85481,                0.65744,                0.85767,                0.84542,                 1.4091,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.91939,                0.95716,                  1.533,                0.87198,                0.75592,                0.85524,                0.65736,                0.85883,                0.84792,                 1.4122,               3.98e-05,               3.98e-05,               3.98e-05
